,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Abana,"86,63","85,73","-0,90",3455,3455,0,1819,1887,68,968,1024,56,863
Boğazkale,"89,25","88,37","-0,88",3043,3044,1,2101,2169,68,461,490,29,1679
Sivrice,"86,95","83,55","-3,40",5962,5964,2,3822,3890,68,1069,1014,-55,2876
Akıncılar,"85,40","84,46","-0,94",4124,4125,1,2633,2698,65,695,750,55,1948
Pehlivanköy,"89,50","88,52","-0,98",3049,3050,1,738,803,65,1831,1860,29,-1057
Elbeyli,"88,85","85,74","-3,11",97198,97046,-152,2702,2766,64,1161,1290,129,1476
Yenipazar – Bilecik,"91,55","89,62","-1,93",2474,2475,1,1352,1416,64,719,759,40,657
Dernekpazarı,"87,24","87,48","0,24",3228,3228,0,2269,2333,64,380,419,39,1914
Karakeçili,"93,64","90,59","-3,05",2357,2358,1,1649,1712,63,357,388,31,1324
Hozat,"87,43","88,29","0,86",4360,4363,3,451,513,62,3139,3308,169,-2795
Termal,"89,19","86,48","-2,71",4532,4533,1,2385,2447,62,1289,1402,113,1045
Altınyayla – Sivas,"87,28","85,37","-1,91",6424,6427,3,4559,4621,62,755,793,38,3828
Vize,"90,10","87,59","-2,51",23945,23945,0,6944,7005,61,13176,13769,593,-6764
Lalapaşa,"93,02","89,78","-3,24",5284,5286,2,2148,2209,61,2394,2473,79,-264
Hemşin,"83,13","82,94","-0,19",2163,2163,0,1087,1148,61,588,610,22,538
Ağlı,"86,96","84,82","-2,14",2554,2556,2,1630,1690,60,372,436,64,1254
Tatvan,"84,28","78,61","-5,67",64613,64680,67,20955,21015,60,30201,28664,-1537,-7649
Hasankeyf,"83,86","79,18","-4,68",5142,5150,8,1904,1963,59,1956,2088,132,-125
Haymana,"82,15","78,70","-3,45",21158,21171,13,10855,10914,59,5417,5473,56,5441
İmranlı,"86,04","86,63","0,59",5946,5946,0,1771,1828,57,3152,3272,120,-1444
Sultanhanı,"91,79","89,44","-2,35",8087,8093,6,5091,5147,56,1872,1979,107,3168
Eceabat,"91,12","88,85","-2,27",7387,7393,6,1615,1671,56,4751,4842,91,-3171
Kızılören,"86,90","84,62","-2,28",1847,1847,0,881,937,56,528,580,52,357
Ovacık – Tunceli,"86,15","87,57","1,42",5591,5592,1,416,471,55,4190,4388,198,-3917
Başçiftlik,"79,68","78,25","-1,43",3563,3563,0,1908,1963,55,740,761,21,1202
Akören,"90,69","88,48","-2,21",4253,4254,1,2952,3006,54,586,685,99,2321
Seydiler,"88,70","86,20","-2,50",3576,3579,3,2185,2239,54,714,803,89,1436
Gömeç,"90,86","87,63","-3,23",13613,13625,12,4192,4245,53,7338,7549,211,-3304
Hafik,"91,09","90,77","-0,32",7164,7171,7,3877,3930,53,2337,2489,152,1441
Çelebi,"87,04","82,52","-4,52",2037,2037,0,1145,1198,53,459,472,13,726
Sulakyurt,"89,45","87,19","-2,26",5232,5237,5,2639,2691,52,1792,1829,37,862
Ömerli,"82,25","79,50","-2,75",9173,9186,13,4048,4100,52,3034,3014,-20,1086
Marmaraereğlisi,"88,60","85,55","-3,05",23934,23947,13,7380,7431,51,12617,12901,284,-5470
Meriç,"88,94","86,53","-2,41",11155,11160,5,3898,3949,51,5373,5547,174,-1598
Ortaköy – Çorum,"91,16","88,82","-2,34",5183,5186,3,2568,2619,51,1911,1914,3,705
Babadağ,"93,01","88,83","-4,18",5019,5021,2,2347,2397,50,1814,1965,151,432
Mihalıççık,"85,96","83,93","-2,03",6804,6809,5,3300,3350,50,2021,2230,-5791,1120
Mazgirt,"85,32","85,36","0,04",6355,6356,1,683,732,49,4554,4681,127,-3949
Nazımiye,"89,81","91,01","1,20",2669,2670,1,217,265,48,2038,2133,95,-1868
Halkapınar,"91,52","88,92","-2,60",3290,3295,5,2152,2199,47,646,700,54,1499
Hamamözü,"91,64","90,27","-1,37",2979,2690,-289,1743,1790,47,810,848,38,942
Çayırlı,"89,14","88,32","-0,82",6279,6282,3,3100,3147,47,2318,2356,38,791
Damal,"86,56","88,85","2,29",3840,3840,0,125,171,46,3065,3209,144,-3038
Pülümür,"89,40","90,02","0,62",3085,3086,1,270,314,44,2338,2434,96,-2120
Yenifakılı,"89,43","87,05","-2,38",4352,4354,2,2142,2186,44,1466,1531,65,655
Yayladere,"78,27","77,65","-0,62",1776,1776,0,375,419,44,896,940,44,-521
Sarıcakaya,"91,53","89,53","-2,00",3894,3895,1,2311,2354,43,988,1068,80,1286
Marmara,"87,48","85,40","-2,08",8777,8785,8,3264,3306,42,3980,4129,149,-823
Bayramören,"86,07","84,21","-1,86",2190,2191,1,1516,1558,42,245,261,16,1297
Havsa,"91,73","89,47","-2,26",15367,15370,3,4270,4311,41,8921,9296,375,-4985
Çaybaşı,"87,68","82,73","-4,95",9276,9288,12,6294,6335,41,1174,1211,37,5124
Alacakaya,"84,50","81,24","-3,26",4640,4642,2,2754,2795,41,921,874,-47,1921
Akçakent,"86,04","84,78","-1,26",3088,3089,1,2020,2060,40,486,516,30,1544
Çamaş,"87,26","83,89","-3,37",7088,7088,0,4287,4327,40,1502,1499,-3,2828
Ağın,"86,98","84,73","-2,25",2219,2220,1,1109,1148,39,668,697,29,451
Alpu,"89,04","85,90","-3,14",8363,8366,3,4531,4568,37,2307,2494,187,2074
Günyüzü,"90,13","87,67","-2,46",4446,4452,6,2750,2787,37,906,1047,141,1740
Enez,"89,97","88,07","-1,90",8992,8995,3,2026,2063,37,5641,5775,134,-3712
Hani,"68,13","62,43","-5,70",20133,20154,21,6400,6437,37,6284,5737,-547,700
Bozcaada,"88,29","85,25","-3,04",2691,2691,0,503,538,35,1750,1736,-14,-1198
Han,"87,75","85,79","-1,96",1837,1837,0,714,748,34,748,788,40,-40
Evren,"83,01","80,54","-2,47",2466,2467,1,1248,1282,34,631,666,35,616
Ahlat,"83,78","77,90","-5,88",26098,25932,-166,9300,9333,33,11435,10503,-932,-1170
Çandır,"81,58","80,02","-1,56",3458,3459,1,1828,1859,31,779,855,76,1004
Mucur,"90,19","86,13","-4,06",14144,14156,12,7495,7523,28,4205,4493,288,3030
İnhisar,"90,00","87,62","-2,38",1930,1930,0,975,1003,28,607,658,51,345
Dumlupınar,"84,36","81,47","-2,89",2429,2429,0,1315,1343,28,567,591,24,752
Karakoçan,"77,42","74,26","-3,16",21184,21204,20,7568,7596,28,7920,7775,-145,-179
Baykan,"79,35","74,69","-4,66",15126,15150,24,5488,5516,28,5830,5507,-323,9
Fatih,"87,29","84,85","-2,44",264732,264898,166,120051,120078,27,97879,102325,4446,17753
Yenişarbademli,"86,29","83,63","-2,66",1947,1949,2,860,885,25,681,709,28,176
Bala,"83,03","79,20","-3,83",17513,17521,8,8909,8933,24,4680,4725,45,4208
Kofçaz,"93,69","91,81","-1,88",1917,1918,1,687,710,23,987,1026,39,-316
Boztepe,"91,27","88,58","-2,69",4274,4274,0,1608,1630,22,2114,2121,7,-491
