,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Bayraklı,"90,68","87,38","-3,30",233097,233254,157,71970,72468,498,125064,129432,4368,-56964
Nallıhan,"90,14","87,34","-2,80",21762,21774,12,10393,10891,498,7280,7791,511,3100
Bayrampaşa,"91,43","88,63","-2,80",200830,200977,147,92500,92993,493,77678,83273,5595,9720
Karayazı,"74,91","71,31","-3,60",16450,16467,17,3034,3527,493,8572,7950,-622,-4423
Karakoyunlu,"77,94","70,24","-7,70",8965,8975,10,2056,2548,492,3716,3656,-60,-1108
Korkuteli,"91,53","88,21","-3,32",44120,44152,32,21324,21815,491,15643,16429,786,5386
Nusaybin,"78,83","75,17","-3,66",73998,74067,69,8393,8884,491,47505,45730,-1775,-36846
Ortaköy – Aksaray,"84,38","81,91","-2,47",23211,23227,16,14158,14647,489,3887,4061,174,10586
Salıpazarı,"90,40","89,26","-1,14",15619,15631,12,10534,11017,483,2582,2756,174,8261
Çiftlikköy,"88,10","84,66","-3,44",36279,36308,29,14487,14969,482,14407,15310,903,-341
Lapseki,"92,26","89,87","-2,39",23638,23651,13,10598,11080,482,9392,9910,518,1170
Payas,"89,70","86,96","-2,74",29655,29673,18,15663,16145,482,8776,9261,485,6884
Kargı,"87,67","86,22","-1,45",13519,13522,3,7981,8463,482,2737,2963,226,5500
Alaçam,"88,84","86,28","-2,56",20284,20296,12,10645,11125,480,5803,6084,281,5041
Tuzluca,"75,05","69,01","-6,04",15743,15761,18,2992,3472,480,7424,7199,-225,-3727
Beylikdüzü,"90,19","87,63","-2,56",270526,270708,182,99014,99492,478,131624,135916,4292,-36424
Gölhisar,"88,59","85,58","-3,01",17477,17492,15,9407,9882,475,4525,4826,301,5056
Korgan,"86,10","83,04","-3,06",20858,20873,15,13888,14360,472,2656,2693,37,11667
Sultangazi,"91,72","89,11","-2,61",377028,377362,334,198292,198763,471,128388,134222,5834,64541
Ayvacık,"91,23","88,66","-2,57",28254,28270,16,10448,10919,471,13392,13779,387,-2860
Torbalı,"90,74","87,19","-3,55",152729,152865,136,52433,52903,470,76066,78917,2851,-26014
Çaldıran,"70,50","61,98","-8,52",33277,33332,55,5618,6088,470,16410,14135,-2275,-8047
İncirliova,"89,43","86,83","-2,60",40884,40915,31,16745,17213,468,16941,17884,943,-671
Şavşat,"84,83","85,18","0,35",14718,14725,7,5048,5515,467,6555,6806,251,-1291
Burhaniye,"90,51","88,52","-1,99",50790,50428,-362,16110,16573,463,26699,27570,871,-10997
İncesu,"92,40","88,86","-3,54",21289,21311,22,13096,13559,463,4637,5009,372,8550
Menderes,"89,61","86,49","-3,12",82272,82327,55,27645,28107,462,40769,42337,1568,-14230
Silopi,"87,64","82,17","-5,47",83278,83442,164,12746,13208,462,56783,53920,-2863,-40712
Nurdağı,"81,38","79,14","-2,24",26407,26440,33,15612,16069,457,4510,4586,76,11483
Bozdoğan,"91,98","88,51","-3,47",25626,25640,14,10861,11317,456,10264,10936,672,381
Finike,"89,87","86,17","-3,70",38139,38167,28,15743,16197,454,15554,16174,620,23
Kepsut,"94,24","94,12","-0,12",16826,16491,-335,10595,11049,454,3998,4241,243,6808
Bünyan,"89,26","88,35","-0,91",20002,19508,-494,11739,12191,452,4452,4838,386,7353
Gemerek,"85,02","82,54","-2,48",17055,17066,11,8050,8502,452,4932,5283,351,3219
Havza,"89,97","87,97","-2,00",30276,30301,25,18337,18787,450,6915,7468,553,11319
Kuyucak,"91,12","89,28","-1,84",21249,21259,10,8473,8919,446,9257,9725,468,-806
Feke,"86,29","84,53","-1,76",12788,12796,8,6878,7322,444,3092,3306,214,4016
Honaz,"91,77","91,29","-0,48",22801,22251,-550,8995,9438,443,9945,10638,693,-1200
Doğanhisar,"88,69","86,43","-2,26",12569,12575,6,6671,7113,442,3158,3362,204,3751
Selendi,"91,15","88,03","-3,12",15534,15543,9,8608,9046,438,4278,4378,100,4668
Durağan,"87,56","85,97","-1,59",12976,12983,7,8854,9289,435,1514,1674,160,7615
Maçka,"88,05","86,41","-1,64",20511,20520,9,12283,12717,434,4760,4640,-120,8077
Kozlu,"88,84","85,56","-3,28",36385,36400,15,16121,16554,433,13331,14103,772,2451
Bayındır,"90,27","88,04","-2,23",31497,31524,27,11809,12242,433,14436,15139,703,-2897
Belen,"87,11","84,95","-2,16",23499,23520,21,12917,13346,429,5934,6385,451,6961
Perşembe,"87,18","84,62","-2,56",25699,25564,-135,11114,11540,426,9582,9728,146,1812
Şebinkarahisar,"86,42","85,12","-1,30",15448,15441,-7,10065,10487,422,2224,2458,234,8029
Tirebolu,"88,14","84,99","-3,15",26165,26187,22,13972,14392,420,7112,7427,315,6965
İnebolu,"86,87","84,18","-2,69",15988,15999,11,9395,9815,420,3111,3420,309,6395
Tortum,"87,72","86,96","-0,76",12293,12304,11,8934,9354,420,995,1170,175,8184
Saraykent,"75,94","78,33","2,39",7911,7914,3,5042,5461,419,555,641,86,4820
Saruhanlı,"93,15","90,18","-2,97",44177,44208,31,17509,17927,418,20445,21390,945,-3463
Oltu,"87,11","84,62","-2,49",22557,22510,-47,14950,15367,417,3037,3344,307,12023
Marmaris,"87,66","84,23","-3,43",73444,73478,34,17104,17520,416,43032,43814,782,-26294
Ortaca,"91,09","88,22","-2,87",42604,42630,26,11848,12264,416,24337,24996,659,-12732
Cide,"84,45","82,44","-2,01",18600,18605,5,10068,10484,416,4267,4569,302,5915
Gülşehir,"88,25","85,62","-2,63",16685,16699,14,9595,10011,416,3854,4051,197,5960
Erzin,"88,93","86,01","-2,92",29642,29674,32,12238,12649,411,12007,12478,471,171
Kale – Denizli,"92,25","87,62","-4,63",15039,15051,12,7619,8030,411,4507,4835,328,3195
Yıldızeli,"84,83","84,05","-0,78",21648,21669,21,13907,14317,410,3517,3706,189,10611
Boğazlıyan,"86,91","85,38","-1,53",25467,25399,-68,13107,13516,409,7366,7828,462,5688
Sarayönü,"91,37","89,50","-1,87",20777,20794,17,14917,15326,409,2818,3039,221,12287
Susurluk,"90,94","88,61","-2,33",30959,30973,14,12805,13213,408,13198,13943,745,-730
İscehisar,"94,23","91,77","-2,46",17568,17591,23,12228,12633,405,2764,3261,497,9372
Gölköy,"83,15","78,52","-4,63",21443,21460,17,10529,10934,405,5545,5554,9,5380
Sürmene,"85,96","83,79","-2,17",20217,20233,16,12409,12813,404,3628,3840,212,8973
Yusufeli,"85,34","82,71","-2,63",15809,15814,5,9202,9605,403,3028,3239,211,6366
Yahşihan,"89,74","85,64","-4,10",19839,19851,12,8823,9222,399,6977,7536,559,1686
Tonya,"87,39","85,17","-2,22",11297,11303,6,5496,5895,399,3325,3429,104,2466
Gürpınar,"77,87","71,45","-6,42",20775,20805,30,6372,6770,398,8818,7755,-1063,-985
Bulanık,"74,34","68,24","-6,10",44272,44346,74,5773,6171,398,25518,23547,-1971,-17376
Buldan,"91,18","87,36","-3,82",21173,21189,16,8074,8471,397,9045,9679,634,-1208
Çilimli,"93,11","93,28","0,17",13583,13348,-235,9705,10101,396,1876,2184,308,7917
Elmadağ,"92,81","89,24","-3,57",34388,34431,43,15098,15493,395,14239,14935,696,558
Yahyalı,"91,69","89,82","-1,87",26791,26813,22,19443,19838,395,3574,3925,351,15913
Ardahan,"84,13","79,38","-4,75",28858,28808,-50,8735,9130,395,13551,13397,-154,-4267
Pamukova,"92,28","89,08","-3,20",23105,23122,17,14250,14642,392,5173,5656,483,8986
Emet,"90,98","88,49","-2,49",14933,14940,7,9440,9831,391,2948,3123,175,6708
Tomarza,"89,39","86,77","-2,62",16354,16365,11,10258,10648,390,3076,3314,238,7334
Koyulhisar,"84,61","84,45","-0,16",10232,10234,2,6161,6547,386,1819,1931,112,4616
Ezine,"91,33","88,62","-2,71",25223,25235,12,9361,9746,385,11939,12293,354,-2547
Havran,"93,62","90,63","-2,99",21344,21358,14,12255,12640,385,6220,6410,190,6230
Yomra,"88,65","85,14","-3,51",32890,32918,28,18928,19312,384,7723,8331,608,10981
Kavak,"91,57","88,61","-2,96",18349,18286,-63,11150,11534,384,4025,4363,338,7171
Mudurnu,"90,73","87,85","-2,88",14965,13154,-1811,8401,8783,382,3634,4105,471,4678
Türkeli,"82,89","81,88","-1,01",12510,12518,8,7704,8086,382,1815,2008,193,6078
Tekman,"73,93","69,52","-4,41",14667,14687,20,2805,3187,382,7308,6764,-544,-3577
Dereli,"89,53","86,71","-2,82",15499,15510,11,10640,11021,381,2136,2217,81,8804
Yenice – Çanakkale,"93,56","91,20","-2,36",25534,25545,11,14044,14423,379,7963,8499,536,5924
Sancaktepe,"91,46","88,29","-3,17",343363,343652,289,150498,150876,378,145594,149723,4129,1153
Bozkır,"86,89","83,71","-3,18",19078,19090,12,11606,11983,377,3440,3684,244,8299
Malazgirt,"76,33","71,29","-5,04",27457,27503,46,3935,4312,377,16067,14913,-1154,-10601
Araklı,"84,78","82,29","-2,49",36039,36067,28,24585,24958,373,4022,4396,374,20562
Beşikdüzü,"89,10","86,62","-2,48",17538,17515,-23,6679,7051,372,7489,7831,342,-780
Samsat,"90,93","95,57","4,64",4291,4292,1,3207,3577,370,555,395,-160,3182
Arsuz,"87,78","87,35","-0,43",72376,72067,-309,14351,14714,363,47230,47861,631,-33147
Ondokuzmayıs,"88,50","86,54","-1,96",20680,20700,20,13256,13619,363,3721,4056,335,9563
Kınık,"93,63","91,47","-2,16",21576,21584,8,7287,7649,362,11520,11815,295,-4166
Karapınar,"90,13","85,76","-4,37",36050,36078,28,21251,21611,360,8329,8886,557,12725
Gökçebey,"87,65","84,71","-2,94",17193,17201,8,7364,7722,358,5980,6364,384,1358
Yağlıdere,"85,11","83,50","-1,61",12331,12338,7,7916,8274,358,1758,1844,86,6430
Aralık,"76,87","68,71","-8,16",14074,14092,18,3433,3789,356,6069,5717,-352,-1928
Kelkit,"79,27","77,65","-1,62",26046,26068,22,16329,16683,354,3090,3270,180,13413
Çerkeş,"86,35","84,18","-2,17",12774,12782,8,7214,7567,353,2711,2999,288,4568
Avanos,"88,50","86,66","-1,84",25480,25494,14,11839,12191,352,9116,9573,457,2618
Büyükçekmece,"90,08","87,60","-2,48",197387,197541,154,76400,76751,351,91333,94944,3611,-18193
Sapanca,"92,39","89,45","-2,94",32977,32998,21,18107,18458,351,10035,10702,667,7756
Söke,"89,87","86,29","-3,58",93670,93604,-66,28774,29124,350,49534,50875,1341,-21751
Alaca,"89,26","87,58","-1,68",23193,23212,19,13807,14157,350,5641,5904,263,8253
Karaisalı,"92,49","90,35","-2,14",17312,17322,10,11072,11421,349,3606,3984,378,7437
Ilgaz,"87,09","84,80","-2,29",11538,11545,7,7225,7573,348,1813,2005,192,5568
Kalkandere,"88,13","90,05","1,92",9927,9761,-166,6892,7240,348,1396,1431,35,5809
Karlıova,"70,86","66,30","-4,56",18091,18109,18,4902,5248,346,6873,6228,-645,-980
Akçakoca,"91,79","89,27","-2,52",31683,31699,16,17002,17347,345,9777,10596,819,6751
Bayramiç,"93,69","91,40","-2,29",23855,23870,15,9041,9386,345,11640,12071,431,-2685
Orta,"87,26","87,62","0,36",9675,9676,1,7276,7619,343,687,759,72,6860
Şereflikoçhisar,"84,29","80,35","-3,94",25169,25188,19,11469,11811,342,7946,8127,181,3684
Kemer – Antalya,"88,45","84,79","-3,66",32867,32891,24,11584,11921,337,15233,15681,448,-3760
Başkale,"76,83","70,26","-6,57",27346,27393,47,4005,4341,336,15442,14544,-898,-10203
Bitlis,"84,03","78,92","-5,11",44751,44653,-98,17355,17690,335,17636,16615,-1021,1075
Yavuzeli,"88,93","87,80","-1,13",14174,14195,21,7826,8159,333,4133,4069,-64,4090
Horasan,"79,52","76,69","-2,83",23966,24003,37,14785,15118,333,3140,3037,-103,12081
Savur,"76,10","73,37","-2,73",16148,16161,13,5450,5783,333,6232,5846,-386,-63
Gölyaka,"93,85","92,08","-1,77",16180,16190,10,10359,10691,332,3761,4027,266,6664
Mesudiye,"77,47","77,60","0,13",11089,11092,3,5637,5962,325,2384,2509,125,3453
Kürtün,"85,54","83,83","-1,71",9271,9273,2,6172,6492,320,1153,1156,3,5336
Kulu,"70,70","68,51","-2,19",37279,37311,32,16354,16673,319,8614,8553,-61,8120
Beşiktaş,"90,29","88,21","-2,08",134684,134740,56,20338,20656,318,97080,97506,426,-76850
Aladağ,"91,05","89,91","-1,14",12330,12338,8,6679,6996,317,3607,3900,293,3096
Kaynaşlı,"91,02","88,79","-2,23",15850,15862,12,10978,11295,317,2341,2592,251,8703
Keçiborlu,"91,27","89,07","-2,20",11201,11207,6,5548,5865,317,3705,3921,216,1944
Sarıkamış,"75,29","69,74","-5,55",24860,24888,28,10537,10854,317,6601,6156,-445,4698
Koçarlı,"92,98","91,03","-1,95",17999,18010,11,8852,9168,316,6692,6983,291,2185
İspir,"85,27","84,74","-0,53",11856,11862,6,8067,8382,315,1319,1508,189,6874
Kadınhanı,"92,54","90,42","-2,12",22624,22649,25,16455,16768,313,3085,3416,331,13352
Kocaali,"91,06","88,22","-2,84",18712,18723,11,11446,11759,313,4225,4524,299,7235
Bismil,"85,44","81,28","-4,16",74110,74211,101,12547,12860,313,48324,46285,-2039,-33425
Araç,"88,24","85,88","-2,36",14930,14941,11,8605,8917,312,3353,3637,284,5280
Sivaslı,"90,07","88,35","-1,72",15532,15545,13,6596,6907,311,6282,6531,249,376
Seferihisar,"89,91","87,34","-2,57",44719,44746,27,10375,10685,310,27553,28059,506,-17374
Kurtalan,"80,15","74,28","-5,87",37495,37545,50,8248,8558,310,20382,18620,-1762,-10062
Yeşilova,"87,76","85,79","-1,97",12421,12427,6,4353,4661,308,5517,5517,0,-856
Oğuzeli,"90,17","86,88","-3,29",22746,22767,21,13003,13309,306,5764,6176,412,7133
Bozyazı,"92,22","89,87","-2,35",20949,20971,22,9123,9429,306,8640,8997,357,432
Amasra,"86,63","84,43","-2,20",11577,11580,3,4377,4683,306,4626,4842,216,-159
Çerkezköy,"90,26","86,43","-3,83",144266,144398,132,60221,60526,305,60212,62967,2755,-2441
Zara,"89,12","88,07","-1,05",17221,17228,7,9004,9308,304,5400,5703,303,3605
Aydıncık – Mersin,"91,58","89,56","-2,02",8903,8907,4,3877,4181,304,3468,3645,177,536
Karamürsel,"88,41","85,28","-3,13",45969,45998,29,22136,22439,303,14978,16205,1227,6234
Osmaneli,"91,81","88,89","-2,92",16835,16846,11,8329,8632,303,5486,6109,623,2523
Hisarcık,"90,83","88,83","-2,00",9096,9099,3,5398,5701,303,2001,2179,178,3522
Genç,"78,36","74,81","-3,55",24152,24172,20,14239,14540,301,3440,3142,-298,11398
Şabanözü,"91,43","89,72","-1,71",9074,9086,12,5419,5718,299,2117,2320,203,3398
Borçka,"89,54","87,24","-2,30",17375,17385,10,9282,9579,297,5103,5340,237,4239
Aşkale,"89,37","86,93","-2,44",15225,15235,10,10594,10891,297,2035,2169,134,8722
Çatalca,"92,26","89,77","-2,49",60887,60930,43,22980,23276,296,29562,30836,1274,-7560
Demre,"92,52","89,34","-3,18",21283,21301,18,9182,9477,295,8715,9235,520,242
Göynük,"91,31","89,12","-2,19",11652,11659,7,7931,8225,294,1828,2022,194,6203
Ceylanpınar,"82,97","79,95","-3,02",51482,51555,73,21256,21548,292,19638,19007,-631,2541
Lüleburgaz,"92,13","89,63","-2,50",122224,122311,87,31181,31472,291,75350,77354,2004,-45882
Sultandağı,"89,78","87,67","-2,11",12010,12017,7,3431,3722,291,6369,6593,224,-2871
Ardeşen,"88,36","86,08","-2,28",32329,32348,19,18668,18957,289,8032,8546,514,10411
Narman,"85,70","84,31","-1,39",8865,8873,8,5884,6173,289,1121,1196,75,4977
Şalpazarı,"90,54","89,79","-0,75",8923,8929,6,5596,5885,289,1946,1972,26,3913
Karataş,"89,86","87,99","-1,87",17032,17041,9,5350,5634,284,9340,9223,-117,-3589
Balya,"93,28","91,42","-1,86",10957,10962,5,4862,5144,282,4456,4712,256,432
Büyükorhan,"91,43","88,87","-2,56",7833,7837,4,5189,5471,282,1250,1299,49,4172
Digor,"74,98","69,24","-5,74",13087,13104,17,1415,1697,282,7880,7237,-643,-5540
Çal,"91,85","89,59","-2,26",14841,14849,8,5440,5721,281,6976,7315,339,-1594
Savaştepe,"92,16","89,49","-2,67",13704,13714,10,7053,7334,281,4496,4689,193,2645
Domaniç,"91,02","88,67","-2,35",11901,11906,5,6872,7152,280,2913,3169,256,3983
Altınova,"89,99","86,96","-3,03",22515,22529,14,10762,11041,279,7828,8247,419,2794
Şiran,"75,21","73,96","-1,25",14016,14027,11,7561,7840,279,2203,2361,158,5479
Ayancık,"85,36","83,38","-1,98",19656,19667,11,9849,10127,278,5595,6043,448,4084
Darende,"86,35","85,33","-1,02",18956,18969,13,12903,13181,278,2685,2828,143,10353
Gelibolu,"89,30","86,58","-2,72",34834,34846,12,10235,10511,276,18802,19296,494,-8785
Siirt,"85,21","80,15","-5,06",106632,106769,137,34682,34958,276,51235,48660,-2575,-13702
İhsaniye,"94,14","91,40","-2,74",20232,20252,20,14324,14599,275,3234,3521,287,11078
Sarıveliler,"86,28","83,90","-2,38",8875,8881,6,3561,3836,275,3217,3389,172,447
Hilvan,"82,59","75,99","-6,60",26452,26481,29,11097,11372,275,9789,8470,-1319,2902
Söğütlü,"92,51","89,90","-2,61",11817,11827,10,6738,7012,274,3156,3453,297,3559
Gürün,"85,52","83,19","-2,33",13851,13863,12,7666,7940,274,3189,3420,231,4520
Yığılca,"92,34","89,79","-2,55",11380,11385,5,8378,8651,273,1255,1375,120,7276
Köşk,"92,91","89,67","-3,24",21266,21283,17,11902,12174,272,6158,6565,407,5609
Güzelyurt,"84,38","84,99","0,61",7872,7879,7,4765,5037,272,1411,1568,157,3469
Uzunköprü,"90,24","87,93","-2,31",48716,48742,26,13374,13645,271,27846,28646,800,-15001
Kabataş,"87,08","83,91","-3,17",8406,8411,5,5017,5287,270,1558,1630,72,3657
Pazar – Tokat,"93,29","91,67","-1,62",10058,10063,5,7113,7383,270,1653,1721,68,5662
Ulubey – Ordu,"89,57","86,46","-3,11",15123,15129,6,8143,8413,270,4382,4429,47,3984
Keles,"91,36","88,94","-2,42",9708,9711,3,5968,6237,269,2068,2250,182,3987
Çarşıbaşı,"90,01","87,50","-2,51",12340,12352,12,7549,7817,268,2599,2782,183,5035
Çat,"80,85","79,39","-1,46",10798,10810,12,5690,5958,268,2592,2505,-87,3453
Dalaman,"90,89","87,09","-3,80",35771,35806,35,11642,11907,265,18127,18906,779,-6999
Keşap,"88,37","85,55","-2,82",16537,16545,8,8837,9102,265,4623,4818,195,4284
Yakakent,"90,54","88,96","-1,58",7132,7136,4,3751,4016,265,2093,2196,103,1820
Çukurca,"83,57","78,14","-5,43",186358,186493,135,2357,2622,265,5693,5768,75,-3146
Pazar – Rize,"87,27","84,80","-2,47",25756,25768,12,13681,13944,263,7194,7619,425,6325
Bodrum,"88,01","85,27","-2,74",150972,150804,-168,27014,27276,262,99201,100461,1260,-73185
Ladik,"88,97","86,91","-2,06",13306,13313,7,7889,8151,262,3020,3217,197,4934
Hizan,"79,62","75,00","-4,62",20392,20416,24,8201,8463,262,6895,6455,-440,2008
Yenişehir – Diyarbakır,"82,01","76,41","-5,60",141847,142011,164,30220,30482,262,80161,75891,-4270,-45409
Malkara,"91,13","88,43","-2,70",41750,41772,22,15365,15625,260,19726,20824,1098,-5199
Tunceli,"87,26","87,25","-0,01",28962,28976,14,2841,3101,260,21259,21996,737,-18895
Pütürge,"81,52","82,13","0,61",10293,10301,8,6758,7018,260,1326,1363,37,5655
Dikili,"89,82","87,59","-2,23",40403,40423,20,8298,8556,258,26198,26530,332,-17974
Torul,"84,48","82,36","-2,12",8447,8449,2,5065,5323,258,1375,1492,117,3831
Saraydüzü,"86,92","86,77","-0,15",4955,4957,2,3098,3356,258,756,847,91,2509
Hüyük,"89,11","87,66","-1,45",12561,12569,8,6933,7189,256,3379,3589,210,3600
Gündoğmuş,"87,49","85,12","-2,37",6235,6236,1,2624,2880,256,2113,2217,104,663
Bakırköy,"89,57","87,65","-1,92",169334,169150,-184,34781,35034,253,110502,112171,1669,-77137
Hopa,"89,94","87,59","-2,35",21320,21330,10,6766,7019,253,11035,11453,418,-4434
Hayrat,"87,54","88,98","1,44",6589,6591,2,5009,5262,253,536,542,6,4720
Kapaklı,"90,83","87,04","-3,79",98617,98689,72,45682,45934,252,36929,39189,2260,6745
Kulp,"78,56","72,05","-6,51",23021,23047,26,6617,6869,252,10147,9242,-905,-2373
Pozantı,"89,35","86,54","-2,81",15318,15285,-33,7844,8095,251,4728,4959,231,3136
Ayvalık,"89,10","86,56","-2,54",60055,60079,24,14068,14318,250,36431,37197,766,-22879
Ulukisla,"87,69","85,61","-2,08",16084,16093,9,6835,7085,250,6235,6401,166,684
Eskil,"91,67","88,88","-2,79",19056,19080,24,13157,13407,250,3126,3264,138,10143
Almus,"88,51","88,11","-0,40",15514,15524,10,6716,6964,248,6218,6530,312,434
Uludere,"78,41","72,93","-5,48",27080,27123,43,4963,5211,248,15152,14127,-1025,-8916
Solhan,"77,90","74,70","-3,20",23312,23334,22,13578,13825,247,3434,3175,-259,10650
Erfelek,"85,96","84,55","-1,41",10563,10568,5,5077,5323,246,3308,3478,170,1845
Karacasu,"90,21","87,15","-3,06",14356,14363,7,5689,5932,243,5946,6344,398,-412
Sarıoğlan,"86,36","84,67","-1,69",10587,10594,7,5766,6009,243,2609,2822,213,3187
Ardanuç,"87,09","86,13","-0,96",9076,9080,4,2799,3041,242,4513,4652,139,-1611
Çağlayancerit,"85,69","83,72","-1,97",16395,16417,22,8717,8959,242,4443,4563,120,4396
Refahiye,"85,54","85,34","-0,20",8970,8973,3,4966,5207,241,2246,2355,109,2852
Cumayeri,"93,07","91,13","-1,94",11689,11694,5,8258,8498,240,1870,2048,178,6450
Karapürçek,"93,36","90,96","-2,40",9844,9851,7,6809,7048,239,1636,1766,130,5282
Güroymak,"78,38","72,98","-5,40",28952,28996,44,8926,9165,239,12455,11498,-957,-2333
Kangal,"88,38","85,57","-2,81",15782,15796,14,8117,8355,238,4829,4978,149,3377
Harmancık,"90,79","89,22","-1,57",5191,5193,2,2945,3183,238,1184,1333,149,1850
Çiftlik,"82,28","77,62","-4,66",17319,17339,20,7868,8106,238,4962,5073,111,3033
Pınarbaşı – Kastamonu,"85,64","80,70","-4,94",16981,16992,11,8096,8332,236,4811,5201,390,3131
Pınarbaşı – Kayseri,"85,64","80,70","-4,94",16981,16992,11,8096,8332,236,4811,5201,390,3131
Saimbeyli,"83,46","81,54","-1,92",10729,10736,7,6448,6684,236,1728,1910,182,4774
Kumru,"86,35","82,71","-3,64",22044,22056,12,15362,15598,236,2304,2391,87,13207
Keşan,"90,84","88,10","-2,74",65669,65715,46,20157,20392,235,35991,36950,959,-16558
Ahmetli,"91,62","89,20","-2,42",13286,13298,12,6020,6255,235,5157,5418,261,837
Azdavay,"86,67","82,49","-4,18",6137,6140,3,2793,3028,235,1814,1940,126,1088
Şirvan,"80,78","77,80","-2,98",12249,12266,17,6977,7212,235,2338,2154,-184,5058
Ergene,"90,99","87,77","-3,22",50856,50891,35,18023,18257,234,25037,25938,901,-7681
Köyceğiz,"90,16","86,53","-3,63",31151,31171,20,11055,11289,234,14964,15258,294,-3969
Sumbas,"88,26","85,24","-3,02",10504,10518,14,5534,5768,234,2943,3080,137,2688
Saray – Tekirdağ,"92,01","89,66","-2,35",40138,40165,27,11521,11754,233,23014,23913,899,-12159
Gülağaç,"79,63","78,96","-0,67",13606,13618,12,7242,7474,232,2900,3133,233,4341
Bozkurt – Kastamonu,"85,50","84,90","-0,60",7616,7620,4,4642,4874,232,1357,1505,148,3369
Urla,"90,39","88,14","-2,25",59214,59242,28,10535,10766,231,40474,41078,604,-30312
Kaman,"82,86","79,03","-3,83",26554,26576,22,11918,12148,230,8083,8554,471,3594
Söğüt,"92,35","89,32","-3,03",14245,14256,11,7253,7482,229,4512,5057,545,2425
Gümüşhacıköy,"93,18","92,27","-0,91",18246,18259,13,7026,7255,229,9120,9374,254,-2119
Gelendost,"86,77","83,74","-3,03",11842,11852,10,5110,5339,229,4166,4388,222,951
Güneysu,"93,41","92,47","-0,94",11899,11894,-5,9289,9518,229,1164,1340,176,8178
Köprübaşı – Manisa,"91,73","88,63","-3,10",10581,10587,6,5065,5293,228,3688,3866,178,1427
Foça,"88,77","85,84","-2,93",27728,27743,15,5852,6079,227,16931,17523,592,-11444
Hasköy,"86,59","87,66","1,07",15401,15428,27,10389,10615,226,2548,2731,183,7884
Tefenni,"87,90","84,68","-3,22",8491,8494,3,3529,3752,223,3072,3295,223,457
Toprakkale,"91,00","91,52","0,52",12463,11962,-501,6209,6432,223,4266,4373,107,2059
Hayrabolu,"91,30","88,77","-2,53",24645,24661,16,8451,8672,221,12609,12942,333,-4270
Alucra,"80,24","80,04","-0,20",6766,6768,2,4444,4665,221,578,661,83,4004
Altıntaş,"89,58","86,84","-2,74",12120,12129,9,7577,7796,219,2360,2553,193,5243
Mutki,"79,43","76,68","-2,75",17909,17927,18,10460,10679,219,3011,2777,-234,7902
Sultanhisar,"91,44","88,56","-2,88",15486,15503,17,5846,6064,218,7071,7428,357,-1364
Sarayköy,"92,53","89,24","-3,29",23736,23755,19,7357,7574,217,12845,13346,501,-5772
Hocalar,"87,85","85,96","-1,89",6979,6981,2,4438,4655,217,1147,1212,65,3443
Ağlasun,"92,29","90,10","-2,19",6197,6203,6,3630,3847,217,1553,1580,27,2267
Kırklareli,"90,01","87,16","-2,85",80205,80111,-94,24287,24502,215,43029,44566,1537,-20064
Yeşilhisar,"91,00","88,50","-2,50",12285,12292,7,6877,7092,215,3446,3634,188,3458
Çıldır,"80,97","77,70","-3,27",6717,6722,5,2465,2680,215,2322,2464,142,216
Balçova,"90,93","88,61","-2,32",61315,61342,27,11811,12024,213,41244,41963,719,-29939
Gümüşova,"92,88","90,64","-2,24",13076,13085,9,8623,8836,213,2583,2897,314,5939
Bahçesaray,"77,44","74,83","-2,61",8063,8081,18,3327,3540,213,2302,2322,20,1218
Kalecik,"91,46","89,11","-2,35",10341,10349,8,5981,6193,212,2671,2870,199,3323
Cihanbeyli,"76,20","71,74","-4,46",37648,37690,42,14614,14826,212,12607,11865,-742,2961
Başmakçı,"92,46","89,20","-3,26",7494,7498,4,3812,4023,211,2430,2529,99,1494
İkizce,"88,44","85,39","-3,05",10712,10720,8,6792,7002,210,1939,1988,49,5014
Tutak,"73,83","66,82","-7,01",16931,16959,28,4415,4625,210,7321,6471,-850,-1846
Çamardı,"83,78","81,27","-2,51",9252,9261,9,5351,5560,209,1784,1836,52,3724
Kozaklı,"88,19","85,42","-2,77",10512,10518,6,4904,5112,208,3647,3703,56,1409
Selim,"80,49","74,95","-5,54",14685,14706,21,5622,5830,208,5372,5002,-370,828
Ula,"91,51","88,71","-2,80",22176,22183,7,6699,6906,207,12076,12459,383,-5553
Didim,"85,60","82,83","-2,77",76177,76223,46,16788,16994,206,45105,45638,533,-28644
Eynesil,"85,70","84,25","-1,45",10471,10480,9,5487,5693,206,2906,2958,52,2735
Göle,"78,76","74,37","-4,39",17241,17261,20,5775,5981,206,6953,6635,-318,-654
Tufanbeyli,"87,15","86,26","-0,89",12827,12836,9,6793,6998,205,3528,3868,340,3130
Eskipazar,"88,55","85,12","-3,43",10403,10406,3,6523,6726,203,1766,1940,174,4786
